HarmonicIndex,FrequencyHz,Coefficient,CoefficientMagnitude
1,440,0.810569469138702,0.810569469138702
3,1320,-0.0900632743487447,0.0900632743487447
5,2200,0.0324227787655481,0.0324227787655481
7,3080,-0.0165422340640551,0.0165422340640551
9,3960,0.0100070304831939,0.0100070304831939
11,4840,-0.00669892123255126,0.00669892123255126
13,5720,0.004796269048158,0.004796269048158
15,6600,-0.00360253097394979,0.00360253097394979
17,7480,0.00280473864753876,0.00280473864753876
19,8360,-0.0022453447898579,0.0022453447898579
21,9240,0.00183802600711724,0.00183802600711724
23,10120,-0.00153226742748337,0.00153226742748337
25,11000,0.00129691115062192,0.00129691115062192
27,11880,-0.00111189227591043,0.00111189227591043
29,12760,0.000963816253434842,0.000963816253434842
31,13640,-0.000843464588073572,0.000843464588073572
33,14520,0.000744324581394584,0.000744324581394584
35,15400,-0.000661689362562206,0.000661689362562206
37,16280,0.000592088728370126,0.000592088728370126
39,17160,-0.000532918783128667,0.000532918783128667
41,18040,0.000482194806150328,0.000482194806150328
43,18920,-0.000438382622573663,0.000438382622573663
45,19800,0.000400281219327754,0.000400281219327754
47,20680,-0.000366939551443505,0.000366939551443505
49,21560,0.000337596613552146,0.000337596613552146
